topic,title,content,source
Giải Trí,Hồng Đăng không lên sóng số đầu tiên 'Cuộc hẹn cuối tuần'," Trước đó, tại cuộc họp báo thông báo về chương trình Cuộc hẹn cuối tuần mùa 2, BTC cho biết, khách mời những số đầu tiên là diễn viên Hồng Đăng và Lan Phương. Diễn viên Hồng Đăng và nhạc sĩ Hồ Hoài Anh đang cùng có chuyên đi công tác ở Ý và Tây Ban Nha. Tuy nhiên, vợ diễn viên Hồng Đăng và NSND Trung Hiếu - Giám đốc Nhà hát Kịch Hà Nội đều không liên lạc được với nam nghệ sĩ. Ngân An",vietnamnet.vn
Giải Trí,Á hậu Trương Thị May sánh đôi bên con trai đạo diễn Công Hậu,"Tối 30.6, bộ phim điện ảnh Kẻ đào mồ đã có buổi ra mắt khán giả tại TP.HCM. Dự án đầu tay của đạo diễn Công Hậu với sự góp mặt của Trương Thị May đã tạo được nhiều sự chú ý. Bên cạnh Á hậu người Khmer, phim còn có sự tham gia của con trai đạo diễn Công Hậu - Nhất Duy cùng các diễn viên Đức Hải, Ngọc Trai, Xuân Hương, Bạch Long, Phương Dung, Bảo Trí, Tấn Bo, Dũng Nhí…",thanhnien.vn
Giáo Dục,Có nên học ngành Kỹ thuật xét nghiệm y học?,"Em không biết ngành này cơ hội việc làm cao không, dễ xin việc vào các bệnh viện hoặc trung tâm nghiên cứu không, công việc có độc hại không? Giữa ngành Điều dưỡng của Đại học Y Hà Nội và Kỹ thuật xét nghiệm của Đại học Y Thái Bình thì nên học ở đâu hơn ạ? Em mong nhận được tư vấn. Huyền Huyền",vnexpress
Đời Sống,Trang Lê tiếp tục được chọn là Đại sứ thương hiệu Ý,"Nằm trong khuôn khổ dự án The Extraordinary Italian Taste do Bộ Ngoại giao và Hợp tác quốc tế Ý triển khai tại hơn 40 quốc gia, hôm 29/6, sự kiện True Italian Taste với chủ đề Authentic Italian Table - Italian Breakfast & Aperitivo (tạm dịch ""Bữa sáng và bữa nhẹ kiểu Ý"") đã diễn ra trong không khí ấm cúng tại Hà Nội.  Ngọc Mai",vietnamnet.vn
Giải Trí,Lộ diện 30 cô gái đẹp nhất Hoa hậu các dân tộc Việt Nam,"Trải qua 3 tháng với nhiều vòng tuyển chọn, cuộc thi Hoa hậu các Dân tộc Việt Nam 2022 đã tìm ra 30 cô gái tài năng nhất bước vào đêm chung kết ngày 16.7. Trong top 30, có nhiều thí sinh dân tộc thiểu số có thành tích xuất sắc cùng chiều cao khủng. Đặc biệt, người đẹp Khơ Mú Hoàng Thị Lả và Hoa khôi trường Luật Lâm Đàm Thiều Ly không nằm ngoài sự kỳ vọng của khán giả.",thanhnien.vn
Giáo Dục,23-24 điểm nên chọn Marketing hay Công nghệ thông tin,"Em là học sinh lớp 12, học lực khá. Em dự định xét tuyển học bạ, điểm khoảng 23-24 và đang phân vân học Marketing hoặc Công nghệ thông tin. Với điểm như vậy, em có thể đăng ký xét tuyển trường nào có chất lượng ổn và học phí vừa tầm ạ? Em cũng quan tâm đến tỷ lệ sinh viên có việc làm sau khi tốt nghiệp những trường này nên nếu có thêm thông tin, nhờ anh chị tư vấn giúp. Em xin cảm ơn. Diễm Hương",vnexpress
Đời Sống,Những hình ảnh hài hước chứng minh băng dính có thể giải quyết mọi vấn đề,"Người đã phát minh ra băng dính chắc chắn xứng đáng nhận được giải thưởng vì những đóng góp của mình cho sự phát triển của nhân loại. Theo quan điểm của nhiều người, hầu như mọi vấn đề đều có thể được giải quyết với băng dính. Dưới đây là những hình ảnh hài hước chứng minh băng dính có thể giải quyết mọi vấn đề:",soha
Thời Sự,Chủ tịch Quốc hội Vương Đình Huệ sẽ thăm chính thức Liên hiệp Vương quốc Anh và Bắc Ireland,"Chủ tịch Quốc hội Vương Đình Huệ dẫn đầu Đoàn đại biểu cấp cao Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam sẽ thăm chính thức Anh và Bắc Ireland từ ngày 28-30/6. Theo thông cáo từ Ủy ban Đối ngoại của Quốc hội, chuyến thăm được thực hiện theo lời mời của Chủ tịch Thượng viện Anh John Mcfall và Chủ tịch Hạ viện Linsay Hoyle.",baoquocte
Giải Trí,Ngọc Châu và top 16 Miss Universe Vietnam 'bốc lửa' với bikini,"Chung kết Hoa hậu Hoàn vũ Việt Nam 2022 trở thành tâm điểm chú ý khi mang đến những màn trình diễn mãn nhãn của dàn thí sinh trong những chiếc váy cocktail, áo dài cho đến bikini, dạ hội. Đặc biệt, 16 người đẹp xuất sắc nhất cuộc thi đã có cơ hội khoe những đường cong rực lửa cùng khả năng catwalk điêu luyện trên sân khấu trong bộ bikini đỏ nổi bật và chiếc áo choàng bay bổng.",thanhnien.vn
Giải Trí,Dàn mỹ nhân đọ dáng sexy trên thảm đỏ chung kết Hoa hậu Hoàn vũ Việt Nam,"Chung kết Hoa hậu Hoàn vũ Việt Nam 2022 diễn ra tại Trung tâm Hội chợ Triển lãm Sài Gòn SECC, Quận 7 (TP.HCM) với màn tranh tài của 41 người đẹp xuất sắc nhất. Trước khi bước vào những phần thi kịch tính và hấp dẫn, sự kiện được hâm nóng bằng màn “đổ bộ” của dàn mỹ nhân gợi cảm trên thảm đỏ: hoa hậu Khánh Vân, siêu mẫu Võ Hoàng Yến, siêu mẫu Vũ Thu Phương, á hậu Mâu Thủy, á hậu Kim Duyên....",thanhnien.vn
Xã Hội,[INFOGRAPHIC] Dịch sốt xuất huyết diễn biến phức tạp tại các tỉnh miền Tây,"Hiện tại, số bệnh nhi mắc sốt xuất huyết liên tục tăng, gấp 2 lần năm 2021, trong đó số ca nặng tăng gấp 3, nguy cơ tử vong cao. Dấu hiệu và cách phòng ngừa sốt xuất huyết * Mời quý độc giả theo dõi các chương trình đã phát sóng của Đài Truyền hình Việt Nam trên TV Online và VTVGo! Từ khóa:",vtv.vn
Xã Hội,"Người đàn ông tử vong do rơi từ tầng cao, mắc vào hàng rào","Tối 22/6, lãnh đạo UBND phường Đồng Tâm, quận Hai Bà Trưng, TP Hà Nội cho biết, trên địa bàn vừa xảy ra vụ việc một người đàn ông tử vong vì rơi từ tầng cao chung cư. Ban đầu, công an xác định người đàn ông này khoảng 65 tuổi, nghi tự tử. Công an đã phong tỏa tạm thời một khu vực đường Trần Đại Nghĩa, phía bờ sông, để phục vụ công tác đưa thi thể nạn nhân xuống mặt đất và bàn giao cho gia đình.",zingnews
Xã Hội,Tai nạn giao thông nghiêm trọng khiến 2 người tử vong,"Theo thông tin ban đầu, vào khoảng 3h30 cùng ngày, tại Km 6+200 quốc lộ 9C (đoạn qua xã Xuân Thủy, huyện Lệ Thủy) đã xảy ra vụ tai nạn giao thông nghiêm trọng giữa xe ô tô hiệu Kia Seltos và 3 người trên xe máy hiệu Dream. Vụ va chạm mạnh khiến 2 người tử vong tại chỗ, một người đang được đưa đi cấp cứu. Tại hiện trường, chiếc xe máy Dream hư hỏng nghiêm trọng, các mảnh vỡ vương vãi khắp nơi.",laodong
Xã Hội,Cơ cực bệnh nhân 'xóm chạy thận' quay quắt dưới cái nắng nóng đỉnh điểm ở Hà Nội,"Là người bình thường sống trong thời tiết nắng nóng đỉnh điểm như những ngày gần đây đã là một ""cực hình"", nhưng với những bệnh nhân ở xóm chạy thận tại ngõ 121 Lê Thanh Nghị, Hai Bà Trưng, Hà Nội thì thật sự là những ngày nỗi khốn khổ nhân lên gấp bội.",tienphong
Giải Trí,Người đẹp Việt thắng giải Tài năng Hoa hậu Chuyển giới Quốc tế 2022,"Ngày 20/06, đại diện Việt Nam - Trân Đài và các thí sinh đã chính thức bước vào phần thi Trang phục dân tộc và Tài năng tại Hoa hậu Chuyển giới Quốc tế 2022 (Miss International Queen 2022) tại Thái Lan. Đây là dịp để các người đẹp từ khắp nơi trên thế giới quảng bá văn hóa quốc gia thông qua những bộ trang phục dân tộc ý nghĩa mang đậm giá trị truyền thống.",dantri
Xã Hội,Gợi ý đáp án môn Ngữ văn kỳ thi tuyển sinh lớp 10 THPT công lập Hà Nội,"Môn Ngữ văn được thi theo hình thức tự luận, thời gian làm bài 120 phút. Theo nhận định của các giáo viên, cấu trúc đề thi tương tự như những năm trước, đề thi được giảm tải, nhẹ nhàng phù hợp với bối cảnh học sinh phải học trực tuyến dài ngày. Thí sinh có thể tham khảo hướng dẫn làm bài thi Ngữ văn dưới đây:",vov.vn
Xã Hội,Thủ tướng bổ nhiệm Chính ủy Quân chủng Phòng không - Không quân,"Cụ thể, tại Quyết định số 722/QĐ-TTg, Thủ tướng Chính phủ quyết định bổ nhiệm Thiếu tướng Nguyễn Anh Tuấn, Chủ nhiệm chính trị Bộ đội Biên phòng giữ chức Chính ủy Bộ đội Biên phòng. Tại Quyết định số 723/QĐ-TTg, Thủ tướng Chính phủ quyết định bổ nhiệm Thiếu tướng Trần Ngọc Quyến, Chủ nhiệm chính trị Quân chủng Phòng không - Không quân giữ chức Chính ủy Quân chủng Phòng không - Không quân.",dantri
Xã Hội,Bờ kè 'con đường lúa gạo' miền Tây xuống cấp nghiêm trọng,"Được biết, lãnh đạo UBND tỉnh Hậu Giang đã chỉ đạo huyện Vị Thủy kiểm tra để khắc phục, sửa chữa những đoạn kè bị hư hỏng, bảo đảm an toàn giao thông cho người dân. Những năm gần đây, tỉnh Hậu Giang tiếp tục đầu tư xây dựng bờ kè những đoạn còn lại nhằm chống sạt lở, bảo đảm an toàn, tạo mỹ quan cho khu vực hai bên dòng kênh.",tienphong
Giải Trí,"Cô gái Khơ Mú, Hoa khôi Luật gây 'sốt' tại Hoa hậu các dân tộc Việt Nam","Sau khi kết thúc vòng chung khảo tại khu vực phía Bắc, ban tổ chức Hoa hậu các dân tộc Việt Nam 2022 đã tìm ra 30 gương mặt ưu tú. So với khu vực phía nam, dàn thí sinh miền Bắc cũng không kém phần xinh đẹp và tài năng. Đáng chú ý, nhiều ứng viên còn có học vấn “khủng” với nhiều thành tích đáng nể.",thanhnien.vn
Đời Sống,"15 bức ảnh kỳ quặc khiến người xem hoài nghi về đôi mắt, nhìn vài lần mới hiểu","Đôi khi có những khoảnh khắc, hình ảnh bạn không thể hiểu ngay lần đầu nhìn thấy, thậm chí hoài nghi về chính đôi mắt của mình. Một góc khuất, góc nhìn không chuẩn cũng có thể đánh lừa thị giác, khiến người xem có cái nhìn sai lệch về thực tế. Dưới đây là 15 ví dụ đánh lừa thị giác khiến người xem bối rối, hoài nghi về đôi mắt, phải nhìn đi nhìn lại vài lần mới hiểu nội dung.",soha
Xã Hội,"Người dân quây màn ngủ dưới lòng đường để ""canh"" lúa, bất chấp nguy cơ tai nạn giao thông","Những ngày tháng 6, trên các tuyến đường liên huyện, liên xã, liên thôn thuộc huyện Thanh Oai, xuất hiện tình trạng các hộ nông dân tận dụng lòng đường để phơi thóc 24/24 giờ. Không khó để ghi lại hình ảnh người dân quây màn ngay trên lòng đường canh thóc lúa, tiềm ẩn nguy cơ tai nạn giao thông.",kenh14
Xã Hội,VIDEO: Bí mật bên trong quán karaoke Idol (PHẦN 1),"Qua các mối quan hệ và nhiều lần thuyết phục, chúng tôi được nhóm bạn của Tình ""trọc"" dẫn đến quán karaoke Idol ca hát và tận mắt chứng kiến những màn thác loạn tại nơi mà cô gái tên T.T.K (SN 2000) vì sợ bị ép tiếp khách đã nhảy từ lầu 5 quán karaoke Idol xuống đất bị chấn thương vào hồi đầu tháng 3/2022.",kenh14
